Glucose;Glutathione;Log10(Glucose)
0;0;0
5,070562962;9,310344828;0,70505618
49,57066203;49,24137931;1,695224719
74,50595937;71,37931034;1,872191011
98,71474375;89,37931034;1,994382022
123,3934579;95,79310345;2,091292135
149,817242;102,6206897;2,175561798
174,9756148;107,5862069;2,242977528
200,4316456;104,0689655;2,301966292
348,4454769;108,2068966;2,542134831
494,1061105;111,3103448;2,693820225
5021,606718;113,5862069;3,700842697
